B,R,tol,Rb,recall,false,relax,n_confirm_days
0.65,0.4,0.02,0.11,3,0,2.7516,152
0.625,0.5,0.015,0.03,3,0,2.7508,154
0.625,0.5,0.02,0.08,3,0,2.7508,168
0.6,0.375,0.015,0.1,3,0,2.75,126
0.6,0.375,0.02,0.15,3,0,2.75,132
0.6,0.6,0.015,0.0,3,0,2.75,177
0.775,0.375,0.015,0.0,3,0,2.75,182
0.95,0.15,0.015,0.0,3,0,2.75,179
0.675,0.425,0.0125,0.01,3,0,2.7496,146
0.675,0.425,0.0175,0.06,3,0,2.7496,168
0.625,0.4,0.0125,0.05,3,0,2.748,131
0.625,0.4,0.0175,0.1,3,0,2.748,144
0.7,0.45,0.015,0.01,3,0,2.7476,169
0.7,0.45,0.02,0.06,3,0,2.7476,186
0.6,0.5,0.0125,0.02,3,0,2.7472,136
0.6,0.5,0.0175,0.07,3,0,2.7472,159
0.65,0.425,0.015,0.05,3,0,2.746,149
0.65,0.425,0.02,0.1,3,0,2.746,154
0.625,0.525,0.015,0.02,3,0,2.7452,159
0.625,0.525,0.02,0.07,3,0,2.7452,177
0.6,0.4,0.015,0.09,3,0,2.7444,128
0.6,0.4,0.02,0.14,3,0,2.7444,136
0.675,0.45,0.0125,0.0,3,0,2.744,154
0.725,0.375,0.015,0.03,3,0,2.7429,161
0.725,0.375,0.02,0.08,3,0,2.7429,176
0.625,0.425,0.0125,0.04,3,0,2.7425,130
0.625,0.425,0.0175,0.09,3,0,2.7425,143
0.7,0.475,0.015,0.0,3,0,2.7421,178
0.6,0.525,0.0125,0.01,3,0,2.7417,144
0.6,0.525,0.0175,0.06,3,0,2.7417,166
0.65,0.45,0.015,0.04,3,0,2.7405,152
0.65,0.45,0.02,0.09,3,0,2.7405,159
0.625,0.55,0.015,0.01,3,0,2.7397,167
0.625,0.55,0.02,0.06,3,0,2.7397,184
0.7,0.375,0.0125,0.02,3,0,2.7393,143
0.7,0.375,0.0175,0.07,3,0,2.7393,167
0.6,0.425,0.015,0.08,3,0,2.7389,131
0.6,0.425,0.02,0.13,3,0,2.7389,134
0.725,0.4,0.015,0.02,3,0,2.7373,165
0.725,0.4,0.02,0.07,3,0,2.7373,184
0.625,0.45,0.0125,0.03,3,0,2.7369,133
0.625,0.45,0.0175,0.08,3,0,2.7369,152
0.6,0.55,0.0125,0.0,3,0,2.7361,152
0.675,0.375,0.015,0.06,3,0,2.7357,151
0.675,0.375,0.02,0.11,3,0,2.7357,153
0.65,0.475,0.015,0.03,3,0,2.7349,155
0.65,0.475,0.02,0.08,3,0,2.7349,169
0.625,0.575,0.015,0.0,3,0,2.7341,177
0.7,0.4,0.0125,0.01,3,0,2.7337,150
0.7,0.4,0.0175,0.06,3,0,2.7337,173
0.6,0.45,0.015,0.07,3,0,2.7333,139
0.6,0.45,0.02,0.12,3,0,2.7333,139
0.65,0.375,0.0125,0.05,3,0,2.7321,132
0.65,0.375,0.0175,0.1,3,0,2.7321,145
0.725,0.425,0.015,0.01,3,0,2.7317,169
0.725,0.425,0.02,0.06,3,0,2.7317,186
0.625,0.475,0.0125,0.02,3,0,2.7313,137
0.625,0.475,0.0175,0.07,3,0,2.7313,160
0.675,0.4,0.015,0.05,3,0,2.7302,153
0.675,0.4,0.02,0.1,3,0,2.7302,159
0.65,0.5,0.015,0.02,3,0,2.7294,159
0.65,0.5,0.02,0.07,3,0,2.7294,177
0.625,0.375,0.015,0.09,3,0,2.7286,129
0.625,0.375,0.02,0.14,3,0,2.7286,136
0.7,0.425,0.0125,0.0,3,0,2.7282,154
0.6,0.475,0.015,0.06,3,0,2.7278,144
0.6,0.475,0.02,0.11,3,0,2.7278,146
0.65,0.4,0.0125,0.04,3,0,2.7266,134
0.65,0.4,0.0175,0.09,3,0,2.7266,148
0.725,0.45,0.015,0.0,3,0,2.7262,179
0.625,0.5,0.0125,0.01,3,0,2.7258,144
0.625,0.5,0.0175,0.06,3,0,2.7258,166
0.675,0.425,0.015,0.04,3,0,2.7246,152
0.675,0.425,0.02,0.09,3,0,2.7246,159
